term,replacement
mnesic phenomena,mnesic_phenomenon
working memory,working_memory
working memories,working_memory
M-space,M-space
M-spaces,M-space
self-limiting process,self-limiting_process
self-limiting processes,self-limiting_process
amnesic shadow,amnesic_shadow
amnesic shadows,amnesic_shadow
incidental forgetting,incidental_forgetting
incidental forgettings,incidental_forgetting
motivated forgetting,motivated_forgetting
motivated forgettings,motivated_forgetting
intentional forgetting,intentional_forgetting
intentional forgettings,intentional_forgetting
voluntary forgetting,voluntary_forgetting
voluntary forgettings,voluntary_forgetting
infantile amnesia,infantile_amnesia
infantile amnesia,infantile_amnesia
childhood amnesia,childhood_amnesia
childhood amnesia,childhood_amnesia
infantile forgetting,infantile_forgetting
infantile forgettings,infantile_forgetting
crime-related amnesia,crime-related_amnesia
crime-related amnesia,crime-related_amnesia
simulated amnesia,simulated_amnesia
simulated amnesia,simulated_amnesia
feigned amnesia,feigned_amnesia
feigned amnesia,feigned_amnesia
malingered amnesia,malingered_amnesia
malingered amnesia,malingered_amnesia
simulation of amnesia,simulation_of_amnesia
simulations of amnesia,simulation_of_amnesia
responsible remembering,responsible_remembering
responsible rememberings,responsible_remembering
contextual fluctuation,contextual_fluctuation
contextual fluctuations,contextual_fluctuation
contextuel change,contextuel_change
contextuel changes,contextuel_change
temporal distinctiveness hypothesis,temporal_distinctiveness_hypothesis
temporal distinctiveness hypotheses,temporal_distinctiveness_hypothesis
forgetting curve,forgetting_curve
forgetting curve,forgetting_curve
retention curve,retention_curve
retention curves,retention_curve
retention function,retention_function
retention functions,retention_function
mnemic neglect,mnemic_neglect
mnemic neglect,mnemic_neglect
medial prefrontal cortex,medial_prefrontal_cortex
medial prefrontal cortexes,medial_prefrontal_cortex
mPFC,mPFC
mPFC,mPFC
ventromedial prefrontal cortex,ventromedial_prefrontal_cortex
ventromedial prefrontal cortexes,ventromedial_prefrontal_cortex
vmPFC,vmPFC
vmPFC,vmPFC
trace decay hypothesis,trace_decay_hypothesis
trace decay hypotheses,trace_decay_hypothesis
Memory trace decay,Memory_trace_decay
Memory trace decay,Memory_trace_decay
decay hypothesis,decay_hypothesis
decay hypotheses,decay_hypothesis
decay theory,decay_theory
decay theories,decay_theory
memory decay,memory_decay
memory decay,memory_decay
spontaneous forgetting,spontaneous_forgetting
spontaneous forgettings,spontaneous_forgetting
temporal decay,temporal_decay
temporal decay,temporal_decay
time-based decay,time-based_decay
time-based decay,time-based_decay
trace decay,trace_decay
trace decay,trace_decay
estimator variable,estimator_variable
estimator variables,estimator_variable
response competition,response_competition
response competitions,response_competition
retrieval competition,retrieval_competition
retrieval competitions,retrieval_competition
trace competition,trace_competition
trace competitions,trace_competition
reproductive inhibition,reproductive_inhibition
reproductive inhibitions,reproductive_inhibition
omission error,omission_error
omission errors,omission_error
error of omission,error_of_omission
errors of omission,error_of_omission
cue-overload principle,cue-overload_principle
cue-overload principles,cue-overload_principle
accessibility/availability,accessibility/availability
accessibility/availabilities,accessibility/availability
retrieval,retrieval
retrievals,retrieval
memory retrieval,memory_retrieval
memory retrievals,memory_retrieval
memory search,memory_search
memory searches,memory_search
remembering,remembering
remembering,remembering
retrieval process,retrieval_process
retrieval processes,retrieval_process
search process,search_process
search processes,search_process
trace retrieval,trace_retrieval
trace retrievals,trace_retrieval
trace utilization,trace_utilization
trace utilizations,trace_utilization
storage,storage
storages,storage
trace storage,trace_storage
trace storages,trace_storage
tip-of-the-tongue,tip-of-the-tongue
tips-of-the-tongue,tip-of-the-tongue
TOT,TOT
TOTS,TOT
indirect realism,indirect_realism
indirect realism,indirect_realism
selective retrieval,selective_retrieval
selective retrievals,selective_retrieval
partial retrieval,partial_retrieval
partial retrievals,partial_retrieval
judgment of frequency,judgment_of_frequency
judgments of frequency,judgment_of_frequency
activation,activation
activations,activation
explicit memory,explicit_memory
explicit memories,explicit_memory
memory foraging,memory_foraging
memories foraging,memory_foraging
redintegration,redintegration
redintegrations,redintegration
involuntary memory,involuntary_memory
involuntary memories,involuntary_memory
direct retrieval,direct_retrieval
direct retrievals,direct_retrieval
spontaneous memory,spontaneous_memory
spontaneous memories,spontaneous_memory
spontaneous retrieval,spontaneous_retrieval
spontaneous retrievals,spontaneous_retrieval
unintentional memory,unintentional_memory
unintentional memories,unintentional_memory
implicit memory,implicit_memory
implicit memories,implicit_memory
HERNET model,HERNET_model
HERNET models,HERNET_model
Hippocampal Encoding/Retrieval and Network model,Hippocampal_Encoding/Retrieval_and_Network_model
Hippocampal Encoding/Retrieval and Network models,Hippocampal_Encoding/Retrieval_and_Network_model
General Abstract Processing System Model,General_Abstract_Processing_System_Model
General Abstract Processing System Model,General_Abstract_Processing_System_Model
GAPS,GAPS
GAPSES,GAPS
GAPS model,GAPS_model
GAPS models,GAPS_model
HIPER model,HIPER_model
HIPER models,HIPER_model
Hippocampal Encoding/Retrieval model,Hippocampal_Encoding/Retrieval_model
Hippocampal Encoding/Retrieval models,Hippocampal_Encoding/Retrieval_model
cue depreciation effect,cue_depreciation_effect
cue depreciation effects,cue_depreciation_effect
retrieval practice,retrieval_practice
retrieval practices,retrieval_practice
recitation,recitation
recitations,recitation
retrieval-induced facilitation,retrieval-induced_facilitation
retrieval-induced facilitation,retrieval-induced_facilitation
SAT function,SAT_function
SAT functions,SAT_function
speed-accuracy trade-off function,speed-accuracy_trade-off_function
speed-accuracy trade-off functions,speed-accuracy_trade-off_function
HERA model,HERA_model
HERA models,HERA_model
transfer-appropriate processing principle,transfer-appropriate_processing_principle
transfer-appropriate processing principles,transfer-appropriate_processing_principle
transfer-appropriate processing,transfer-appropriate_processing
transfer-appropriate processing,transfer-appropriate_processing
retrieval effort hypothesis,retrieval_effort_hypothesis
retrieval effort hypotheses,retrieval_effort_hypothesis
strategy,strategy
strategies,strategy
memory aid,memory_aid
memory aids,memory_aid
memory device,memory_device
memory devices,memory_device
mnemonic device,mnemonic_device
mnemonic devices,mnemonic_device
reminiscence,reminiscence
reminiscences,reminiscence
functionalist theories of memory,functionalist_theories_of_memory
functionalist theories of memory,functionalist_theories_of_memory
procedural theories of memory,procedural_theories_of_memory
procedural theories of memory,procedural_theories_of_memory
free and and cued selective reminding test,free_and_and_cued_selective_reminding_test
free and and cued selective reminding tests,free_and_and_cued_selective_reminding_test
FCSRT,FCSRT
FCSRT,FCSRT
Grober and Buschke test,Grober_and_Buschke_test
Grober and Buschke tests,Grober_and_Buschke_test
maintenance rehearsal,maintenance_rehearsal
maintenance rehearsals,maintenance_rehearsal
type I processing,type_I_processing
type I processing,type_I_processing
level-of-processing effect,level-of-processing_effect
level-of-processing effects,level-of-processing_effect
orienting task,orienting_task
orienting tasks,orienting_task
elaborative rehearsal,elaborative_rehearsal
elaborative rehearsals,elaborative_rehearsal
type II processing,type_II_processing
type II processing,type_II_processing
working memory period paradigm,working_memory_period_paradigm
working memory period paradigms,working_memory_period_paradigm
memory capacity,memory_capacity
memory capacities,memory_capacity
memorial capacity,memorial_capacity
memorial capacities,memorial_capacity
storage capacity,storage_capacity
storage capacities,storage_capacity
memory,memory
memories,memory
memory disposition,memory_disposition
memory dispositions,memory_disposition
memory function,memory_function
memory functions,memory_function
memory system,memory_system
memory systems,memory_system
mnemonic function,mnemonic_function
mnemonic functions,mnemonic_function
mnesic function,mnesic_function
mnesic functions,mnesic_function
orthographic working memory,orthographic_working_memory
orthographic working memories,orthographic_working_memory
graphemic buffer,graphemic_buffer
graphemic buffers,graphemic_buffer
transsaccadic memory,transsaccadic_memory
transsaccadic memories,transsaccadic_memory
executive loop,executive_loop
executive loops,executive_loop
articulatory loop,articulatory_loop
articulatory loops,articulatory_loop
articulatory rehearsal process,articulatory_rehearsal_process
articulatory rehearsal processes,articulatory_rehearsal_process
topographical working memory,topographical_working_memory
topographical working memories,topographical_working_memory
visuo-spatial sketchpad,visuo-spatial_sketchpad
visuo-spatial sketchpads,visuo-spatial_sketchpad
VSSP,VSSP
VSSP,VSSP
visuo-spatial scratchpad,visuo-spatial_scratchpad
visuo-spatial scratchpads,visuo-spatial_scratchpad
episodic buffer,episodic_buffer
episodic buffers,episodic_buffer
declarative working memory,declarative_working_memory
declarative working memories,declarative_working_memory
inner scribe,inner_scribe
inner scribes,inner_scribe
central executive,central_executive
central executives,central_executive
executive attention,executive_attention
executive attentions,executive_attention
activity-silent working memory,activity-silent_working_memory
activity-silent working memories,activity-silent_working_memory
social working memory,social_working_memory
social working memories,social_working_memory
phonological loop,phonological_loop
phonological loops,phonological_loop
affective working memory,affective_working_memory
affective working memories,affective_working_memory
procedural working memory,procedural_working_memory
procedural working memories,procedural_working_memory
long-term working memory,long-term_working_memory
long-term working memories,long-term_working_memory
gestural loop,gestural_loop
gestural loops,gestural_loop
goal maintenance,goal_maintenance
goal maintenance,goal_maintenance
implicit working memory,implicit_working_memory
implicit working memories,implicit_working_memory
phonological store,phonological_store
phonological stores,phonological_store
visual cache,visual_cache
visual caches,visual_cache
gating process,gating_process
gating processes,gating_process
gating,gating
gating,gating
gating mechanism,gating_mechanism
gating mechanism,gating_mechanism
working memory gating,working_memory_gating
working memory gating,working_memory_gating
contralateral delay activity,contralateral_delay_activity
contralateral delay activities,contralateral_delay_activity
CDA,CDA
CDA,CDA
CNSW,CNSW
CNSW,CNSW
CSA,CSA
CSA,CSA
SPCN,SPCN
SPCN,SPCN
contralateral negative slow wave,contralateral_negative_slow_wave
contralateral negative slow waves,contralateral_negative_slow_wave
contralateral search activity,contralateral_search_activity
contralateral search activities,contralateral_search_activity
sustained posterior contralateral negativity,sustained_posterior_contralateral_negativity
sustained posterior contralateral negativities,sustained_posterior_contralateral_negativity
temporal tagging,temporal_tagging
temporal taggings,temporal_tagging
hierarchical chunking,hierarchical_chunking
hierarchical chunking,hierarchical_chunking
memory-driven attentional capture,memory-driven_attentional_capture
memory-driven attentional captures,memory-driven_attentional_capture
memory-driven capture,memory-driven_capture
memory-driven captures,memory-driven_capture
simple chunking,simple_chunking
simple chunking,simple_chunking
working memory training,working_memory_training
working memory trainings,working_memory_training
working memory training program,working_memory_training_program
working memory training programs,working_memory_training_program
chunking,chunking
chunking,chunking
working memory consolidation,working_memory_consolidation
working memory consolidations,working_memory_consolidation
Compensation Related Utilization of Neural Circuits Hypothesis,Compensation_Related_Utilization_of_Neural_Circuits_Hypothesis
Compensation Related Utilization of Neural Circuits Hypothesis,Compensation_Related_Utilization_of_Neural_Circuits_Hypothesis
CRUNCH,CRUNCH
CRUNCH,CRUNCH
N2 posterior contralateral component,N2_posterior_contralateral_component
N2 posterior contralateral components,N2_posterior_contralateral_component
N2pc,N2pc
N2pc,N2pc
change detection paradigm,change_detection_paradigm
change detection paradigms,change_detection_paradigm
change detection task,change_detection_task
change detection tasks,change_detection_task
visual arrays task,visual_arrays_task
visual arrays tasks,visual_arrays_task
visual-array comparison,visual-array_comparison
visual-array comparisons,visual-array_comparison
cognitive load,cognitive_load
cognitive loads,cognitive_load
cognitive effort,cognitive_effort
cognitive efforts,cognitive_effort
mental load,mental_load
mental loads,mental_load
processing capacity,processing_capacity
processing capacities,processing_capacity
workload,workload
workloads,workload
Go/No-Go task,Go/No-Go_task
Go/No-Go task,Go/No-Go_task
short-term consolidation,short-term_consolidation
short-term consolidations,short-term_consolidation
chunk,chunk
chunk,chunk
short-term memory,short-term_memory
short-term memories,short-term_memory
STM,STM
STM,STM
active memory,active_memory
active memories,active_memory
echo box,echo_box
echo boxes,echo_box
immediate memory,immediate_memory
immediate memories,immediate_memory
primary memory,primary_memory
primary memories,primary_memory
short-term retention,short-term_retention
short-term retention,short-term_retention
short-term storage,short-term_storage
short-term storages,short-term_storage
short-term store,short-term_store
short-term stores,short-term_store
Hebb effect,Hebb_effect
Hebb effects,Hebb_effect
Hebb repetition effect,Hebb_repetition_effect
Hebb repetition effects,Hebb_repetition_effect
semantic short-term memory,semantic_short-term_memory
semantic short-term memories,semantic_short-term_memory
semantic working memory,semantic_working_memory
semantic working memories,semantic_working_memory
inhibitory control,inhibitory_control
inhibitory controls,inhibitory_control
response inhibition,response_inhibition
response inhibitions,response_inhibition
focus of attention,focus_of_attention
focuses of attention,focus_of_attention
attentional focus,attentional_focus
attentional focuses,attentional_focus
attentional focusing,attentional_focusing
attentional focusing,attentional_focusing
selective interference paradigm,selective_interference_paradigm
selective interference paradigms,selective_interference_paradigm
working memory updating,working_memory_updating
working memory updating,working_memory_updating
updating,updating
updating,updating
updating process,updating_process
updating process,updating_process
fluid intelligence,fluid_intelligence
fluid intelligence,fluid_intelligence
Gf,Gf
Gfs,Gf
fluid reasoning,fluid_reasoning
fluid reasonings,fluid_reasoning
verbal memory,verbal_memory
verbal memories,verbal_memory
verbal storage,verbal_storage
verbal storages,verbal_storage
executive functions,executive_functions
executive functions,executive_functions
metamemory phenomenon,metamemory_phenomenon
metamemory phenomena,metamemory_phenomenon
metamnesic phenomenon,metamnesic_phenomenon
metamnesic phenomena,metamnesic_phenomenon
feeling of knowing judgment,feeling_of_knowing_judgment
feelings of knowing judgment,feeling_of_knowing_judgment
FOK,FOK
FOKS,FOK
semantic satiation,semantic_satiation
semantic satiations,semantic_satiation
acetylcholine,acetylcholine
acetylcholines,acetylcholine
ACh,ACh
Aches,ACh
neurotransmitter,neurotransmitter
neurotransmitters,neurotransmitter
glutamate,glutamate
glutamate,glutamate
glutamic acid,glutamic_acid
glutamic acids,glutamic_acid
acid bath theory,acid_bath_theory
acid bath theories,acid_bath_theory
acid bath model,acid_bath_model
acid bath models,acid_bath_model
acid bath principle,acid_bath_principle
acid bath principles,acid_bath_principle
buffer memory,buffer_memory
buffer memories,buffer_memory
predictive brain,predictive_brain
predictive brains,predictive_brain
bayesian brain,bayesian_brain
bayesian brains,bayesian_brain
bayesian brain theory,bayesian_brain_theory
bayesian brain theories,bayesian_brain_theory
predictive coding,predictive_coding
predictive coding,predictive_coding
predictive mind,predictive_mind
predictive minds,predictive_mind
predictive processing framework,predictive_processing_framework
predictive processing frameworks,predictive_processing_framework
prospective brain,prospective_brain
prospective brains,prospective_brain
prospective thought,prospective_thought
prospective thoughts,prospective_thought
association-monitoring theory,association-monitoring_theory
association-monitoring theories,association-monitoring_theory
AMF,AMF
AMF,AMF
activation/monitoring framework,activation/monitoring_framework
activation/monitoring frameworks,activation/monitoring_framework
hippocampal memory indexing theory,hippocampal_memory_indexing_theory
hippocampal memory indexing theories,hippocampal_memory_indexing_theory
multi-process theory of prospective memory,multi-process_theory_of_prospective_memory
multi-process theories of prospective memory,multi-process_theory_of_prospective_memory
preparatory attentional and memory processes theory,preparatory_attentional_and_memory_processes_theory
preparatory attentional and memory processes theories,preparatory_attentional_and_memory_processes_theory
dynamic field theory,dynamic_field_theory
dynamic field theories,dynamic_field_theory
scaffolding theory of cognition and aging,scaffolding_theory_of_cognition_and_aging
scaffolding theory of cognition and aging,scaffolding_theory_of_cognition_and_aging
STAC,STAC
STAC,STAC
scaffolding theory of cognitive aging,scaffolding_theory_of_cognitive_aging
scaffolding theory of cognitive aging,scaffolding_theory_of_cognitive_aging
reflexive-associative theory of prospective memory,reflexive-associative_theory_of_prospective_memory
reflexive-associative theories of prospective memory,reflexive-associative_theory_of_prospective_memory
implicit associative response,implicit_associative_response
implicit associative responses,implicit_associative_response
associative-activation theory,associative-activation_theory
associative-activation theories,associative-activation_theory
Act-In theory,Act-In_theory
Act-In theory,Act-In_theory
positional coding theory,positional_coding_theory
positional coding theories,positional_coding_theory
exemplar theories,exemplar_theories
exemplar theories,exemplar_theories
direct realism,direct_realism
direct realism,direct_realism
generate-recognize theory,generate-recognize_theory
generate-recognize theories,generate-recognize_theory
dual-process theory,dual-process_theory
dual-process theories,dual-process_theory
dual coding theory,dual_coding_theory
dual coding theories,dual_coding_theory
dual-code hypothesis,dual-code_hypothesis
dual-code hypotheses,dual-code_hypothesis
causal theory of memory,causal_theory_of_memory
causal theories of memory,causal_theory_of_memory
causalism,causalism
causalisms,causalism
serial search theory,serial_search_theory
serial search theories,serial_search_theory
associative chaining theory,associative_chaining_theory
associative chaining theories,associative_chaining_theory
associative chaining,associative_chaining
associative chaining,associative_chaining
embodied cognition,embodied_cognition
embodied cognition,embodied_cognition
embodiment,embodiment
embodiment,embodiment
transition theory,transition_theory
transition theories,transition_theory
TODAM,TODAM
TODAMS,TODAM
Theory of Distributed Associative Memory,Theory_of_Distributed_Associative_Memory
Theories of Distributed Associative Memory,Theory_of_Distributed_Associative_Memory
global matching model,global_matching_model
global matching models,global_matching_model
encoding,encoding
encoding,encoding
acquisition of memory,acquisition_of_memory
acquisitions of memory,acquisition_of_memory
coding,coding
coding,coding
memory acquisition,memory_acquisition
memory acquisitions,memory_acquisition
memory formation,memory_formation
memory formations,memory_formation
trace formation,trace_formation
trace formations,trace_formation
associative strength,associative_strength
associative strengths,associative_strength
fragile visual short-term memory,fragile_visual_short-term_memory
fragile visual short-term memories,fragile_visual_short-term_memory
conceptual short-term memory,conceptual_short-term_memory
conceptual short-term memories,conceptual_short-term_memory
short-term semantic memory,short-term_semantic_memory
short-term semantic memories,short-term_semantic_memory
very short-term conceptual memory,very_short-term_conceptual_memory
very short-term conceptual memories,very_short-term_conceptual_memory
K.F. case,K.F._case
K.F. cases,K.F._case
K.F. patient,K.F._patient
K.F. patients,K.F._patient
P.V. case,P.V._case
P.V. cases,P.V._case
P.V. patient,P.V._patient
P.V. patients,P.V._patient
degree centrality,degree_centrality
degree centralities,degree_centrality
serial position curve,serial_position_curve
serial position curves,serial_position_curve
modality effect,modality_effect
modality effects,modality_effect
language familiarity effect,language_familiarity_effect
language familiarity effects,language_familiarity_effect
primacy effect,primacy_effect
primacy effects,primacy_effect
law of primacy,law_of_primacy
laws of primacy,law_of_primacy
principle of primacy,principle_of_primacy
principles of primacy,principle_of_primacy
irrelevant sound effect,irrelevant_sound_effect
irrelevant sound effects,irrelevant_sound_effect
Ranschburg effect,Ranschburg_effect
Ranschburg effects,Ranschburg_effect
repetition inhibition,repetition_inhibition
repetition inhibitions,repetition_inhibition
choice blindness effect,choice_blindness_effect
choice blindness effects,choice_blindness_effect
prefix effect,prefix_effect
prefix effects,prefix_effect
sentence superiority effect,sentence_superiority_effect
sentence superiority effects,sentence_superiority_effect
sentence avantage effect,sentence_avantage_effect
sentence avantage effects,sentence_avantage_effect
phonotactic frequency,phonotactic_frequency
phonotactic frequencies,phonotactic_frequency
retro-cue effect,retro-cue_effect
retro-cue effects,retro-cue_effect
retro-cue advantage,retro-cue_advantage
retro-cue advantages,retro-cue_advantage
retro-cue benefit,retro-cue_benefit
retro-cue benefits,retro-cue_benefit
recency effect,recency_effect
recency effects,recency_effect
law of recency,law_of_recency
laws of recency,law_of_recency
principle of recency,principle_of_recency
principles of recency,principle_of_recency
lexicality effect,lexicality_effect
lexicality effects,lexicality_effect
lexicality advantage,lexicality_advantage
lexicality advantages,lexicality_advantage
irrelevant speech effect,irrelevant_speech_effect
irrelevant speech effects,irrelevant_speech_effect
unattended speech effect,unattended_speech_effect
unattended speech effects,unattended_speech_effect
bilateral field advantage,bilateral_field_advantage
bilateral field advantages,bilateral_field_advantage
phonological neighbourhood effect,phonological_neighbourhood_effect
phonological neighbourhood effects,phonological_neighbourhood_effect
word length effect,word_length_effect
word length effects,word_length_effect
articulatory suppression effect,articulatory_suppression_effect
articulatory suppression effects,articulatory_suppression_effect
concurrent articulation effect,concurrent_articulation_effect
concurrent articulation effects,concurrent_articulation_effect
rehearsal,rehearsal
rehearsals,rehearsal
subvocal rehearsal,subvocal_rehearsal
subvocal rehearsals,subvocal_rehearsal
temporal isolation effect,temporal_isolation_effect
temporal isolation effects,temporal_isolation_effect
sandwich effect,sandwich_effect
sandwich effects,sandwich_effect
phonological similarity effect,phonological_similarity_effect
phonological similarity effects,phonological_similarity_effect
acoustic confusion effect,acoustic_confusion_effect
acoustic confusion effects,acoustic_confusion_effect
phonemic similarity effect,phonemic_similarity_effect
phonemic similarity effects,phonemic_similarity_effect
auditory deviant effect ​,auditory_deviant_effect_​
auditory deviant effects ​,auditory_deviant_effect_​
acquired prosopagnosia,acquired_prosopagnosia
acquired prosopagnosia,acquired_prosopagnosia
agnosia,agnosia
agnosias,agnosia
Adaptive Control of Thought-Rational,Adaptive_Control_of_Thought-Rational
Adaptive Control of Thought-Rational,Adaptive_Control_of_Thought-Rational
ACT-R,ACT-R
ACT-RS,ACT-R
computational model,computational_model
computational models,computational_model
computational modeling,computational_modeling
computational modelings,computational_modeling
computational modelling,computational_modelling
computational modelling,computational_modelling
quantitative model,quantitative_model
quantitative models,quantitative_model
simulation model,simulation_model
simulation models,simulation_model
Clark Kent effect,Clark_Kent_effect
Clark Kent effects,Clark_Kent_effect
face memory,face_memory
face memories,face_memory
facial memory,facial_memory
facial memories,facial_memory
multinomial model of prospective memory,multinomial_model_of_prospective_memory
multinomial models of prospective memory,multinomial_model_of_prospective_memory
distributional model,distributional_model
distributional models,distributional_model
corpus-based model,corpus-based_model
corpus-based models,corpus-based_model
distributional semantic model,distributional_semantic_model
distributional semantic models,distributional_semantic_model
semantic-space model,semantic-space_model
semantic-space models,semantic-space_model
vector-space model,vector-space_model
vector-space models,vector-space_model
word co-occurrence model,word_co-occurrence_model
word co-occurrence models,word_co-occurrence_model
retrieval accuracy from fragmented traces model,retrieval_accuracy_from_fragmented_traces_model
retrieval accuracies from fragmented traces models,retrieval_accuracy_from_fragmented_traces_model
RAFT model,RAFT_model
RAFT models,RAFT_model
Recognition through Semantic Synchronization model,Recognition_through_Semantic_Synchronization_model
Recognitions through Semantic Synchronization model,Recognition_through_Semantic_Synchronization_model
interference model,interference_model
interference models,interference_model
multiple trace model,multiple_trace_model
multiple trace models,multiple_trace_model
connectionist model,connectionist_model
connectionist models,connectionist_model
ANN model,ANN_model
ANN models,ANN_model
artifical neural network model,artifical_neural_network_model
artifical neural network models,artifical_neural_network_model
connectionism,connectionism
connectionisms,connectionism
connectionist network,connectionist_network
connectionist networks,connectionist_network
formal neural network model,formal_neural_network_model
formal neural network models,formal_neural_network_model
neoconnectionism,neoconnectionism
neoconnectionisms,neoconnectionism
neural network model,neural_network_model
neural network models,neural_network_model
parallel distributed processing,parallel_distributed_processing
parallel distributed processing,parallel_distributed_processing
diffusion model,diffusion_model
diffusion models,diffusion_model
diffusion modeling,diffusion_modeling
diffusion modelings,diffusion_modeling
SEM model,SEM_model
SEM models,SEM_model
Start-End Model,Start-End_Model
Start-End Model,Start-End_Model
semantic network,semantic_network
semantic networks,semantic_network
bind cue decide model of episodic memory,bind_cue_decide_model_of_episodic_memory
bind cue decide model of episodic memory,bind_cue_decide_model_of_episodic_memory
BCDMEM model,BCDMEM_model
BCDMEM models,BCDMEM_model
SIMPLE model,SIMPLE_model
SIMPLE models,SIMPLE_model
Scale Independent Memory_ Perception and Learning model,Scale_Independent_Memory__Perception_and_Learning_model
Scale Independent Memory_ Perception and Learning model,Scale_Independent_Memory__Perception_and_Learning_model
Scale Invariant Memory and Perceptual Learning model,Scale_Invariant_Memory_and_Perceptual_Learning_model
Scale Invariant Memory and Perceptual Learning models,Scale_Invariant_Memory_and_Perceptual_Learning_model
bayesian model,bayesian_model
bayesian models,bayesian_model
semantic space,semantic_space
semantic spaces,semantic_space
feature comparison model,feature_comparison_model
feature comparison models,feature_comparison_model
signal detection theory,signal_detection_theory
signal detection theories,signal_detection_theory
SDT,SDT
SDT,SDT
signal detection model,signal_detection_model
signal detection models,signal_detection_model
time-based resource sharing model,time-based_resource_sharing_model
time-based resource sharing models,time-based_resource_sharing_model
TBRS model,TBRS_model
TBRS models,TBRS_model
multidimensional face space model,multidimensional_face_space_model
multidimensional face space models,multidimensional_face_space_model
algorithm,algorithm
algorithms,algorithm
Rivermead Behavioural Memory Test for Children,Rivermead_Behavioural_Memory_Test_for_Children
Rivermead Behavioural Memory Test for Children,Rivermead_Behavioural_Memory_Test_for_Children
RBMT-C,RBMT-C
RBMT-CS,RBMT-C
Rivermead Behavioural Memory Test,Rivermead_Behavioural_Memory_Test
Rivermead Behavioural Memory Test,Rivermead_Behavioural_Memory_Test
RBMT,RBMT
RBMT,RBMT
visual memory,visual_memory
visual memories,visual_memory
iconic memory,iconic_memory
iconic memories,iconic_memory
precategorical visual store,precategorical_visual_store
precategorical visual stores,precategorical_visual_store
visual persistence,visual_persistence
visual persistence,visual_persistence
visual sensory memory,visual_sensory_memory
visual sensory memories,visual_sensory_memory
own-race bias,own-race_bias
own-race biases,own-race_bias
cross-race effect,cross-race_effect
cross-race effects,cross-race_effect
cross-race identification bias,cross-race_identification_bias
cross-race identification biases,cross-race_identification_bias
other race effect,other_race_effect
other race effects,other_race_effect
own-ethnicity bias,own-ethnicity_bias
own-ethnicity biases,own-ethnicity_bias
own-sex bias,own-sex_bias
own-sex biases,own-sex_bias
own-gender bias,own-gender_bias
own-gender biases,own-gender_bias
attribute amnesia,attribute_amnesia
attribute amnesia,attribute_amnesia
own-age bias,own-age_bias
own-age biases,own-age_bias
boundary extension illusion,boundary_extension_illusion
boundary extension illusions,boundary_extension_illusion
own-species bias,own-species_bias
own-species biases,own-species_bias
other-species effect,other-species_effect
other-species effects,other-species_effect
target effect,target_effect
target effects,target_effect
verbal overshadowing effect,verbal_overshadowing_effect
verbal overshadowing effects,verbal_overshadowing_effect
VOE,VOE
VOE,VOE
own-group bias,own-group_bias
own-group biases,own-group_bias
recall task,recall_task
recall task,recall_task
recall measure,recall_measure
recall measures,recall_measure
recall method,recall_method
recall methods,recall_method
recall paradigm,recall_paradigm
recall paradigms,recall_paradigm
recall test,recall_test
recall tests,recall_test
observation inflation effect,observation_inflation_effect
observation inflation effects,observation_inflation_effect
information removal,information_removal
information removals,information_removal
selective directed forgetting effect,selective_directed_forgetting_effect
selective directed forgetting effects,selective_directed_forgetting_effect
directed forgetting,directed_forgetting
directed forgetting,directed_forgetting
spreading activation,spreading_activation
spreading activation,spreading_activation
attention,attention
attentions,attention
episodic flanker task,episodic_flanker_task
episodic flanker tasks,episodic_flanker_task
episodic flanker paradigm,episodic_flanker_paradigm
episodic flanker paradigms,episodic_flanker_paradigm
reproduction processing effect,reproduction_processing_effect
reproduction processing effects,reproduction_processing_effect
zombie effect,zombie_effect
zombie effects,zombie_effect
DRM memory illusion,DRM_memory_illusion
DRM memory illusions,DRM_memory_illusion
DRM effect,DRM_effect
DRM effects,DRM_effect
DRM error,DRM_error
DRM errors,DRM_error
DRM false memory effect,DRM_false_memory_effect
DRM false memory effects,DRM_false_memory_effect
DRM false memory illusion,DRM_false_memory_illusion
DRM false memory illusions,DRM_false_memory_illusion
DRM illusion,DRM_illusion
DRM illusions,DRM_illusion
Deese-Roediger-McDermott illusion,Deese-Roediger-McDermott_illusion
Deese-Roediger-McDermott illusions,Deese-Roediger-McDermott_illusion
Deese-Roediger-McDermott memory illusion,Deese-Roediger-McDermott_memory_illusion
Deese-Roediger-McDermott memory illusions,Deese-Roediger-McDermott_memory_illusion
associative priming effect,associative_priming_effect
associative priming effects,associative_priming_effect
associative priming,associative_priming
associative primings,associative_priming
priming effect,priming_effect
priming effects,priming_effect
priming,priming
priming,priming
recovered memory,recovered_memory
recovered memories,recovered_memory
memory sensitivity,memory_sensitivity
memory sensitivities,memory_sensitivity
discriminability,discriminability
discriminabilities,discriminability
memory discriminability,memory_discriminability
memory discriminabilities,memory_discriminability
sensitivity,sensitivity
sensitivities,sensitivity
repisodic memory,repisodic_memory
repisodic memories,repisodic_memory
suggestibility,suggestibility
suggestibilities,suggestibility
engram,engram
engrams,engram
memory engram,memory_engram
memory engrams,memory_engram
memory trace,memory_trace
memory traces,memory_trace
mneme,mneme
mnemes,mneme
mnemonic trace,mnemonic_trace
mnemonic traces,mnemonic_trace
mnesic trace,mnesic_trace
mnesic traces,mnesic_trace
neurogram,neurogram
neurograms,neurogram
sensory memory,sensory_memory
