id	ul	term	pref	replacement
http://data.loterre.fr/ark:/67375/p66-jfxtxt0c-4.1	tnt	tnt	think/no-think paradigm	think_no_think_paradigm
http://data.loterre.fr/ark:/67375/p66-jfxtxt0c-4.2	tnt paradigm	tnt paradigm	think/no-think paradigm	think_no_think_paradigm
http://data.loterre.fr/ark:/67375/p66-jfxtxt0c-4.3	tnt procedure	tnt procedure	think/no-think paradigm	think_no_think_paradigm
http://data.loterre.fr/ark:/67375/p66-jgd6169k-g.0	sem model	sem model	sem model	sem_model
http://data.loterre.fr/ark:/67375/p66-jgd6169k-g.1	start-end model	start-end model	sem model	sem_model
http://data.loterre.fr/ark:/67375/p66-jgfqsvdn-1.0	wechsler memory scale	wechsler memory scale	wechsler memory scale	wechsler_memory_scale
http://data.loterre.fr/ark:/67375/p66-jgfqsvdn-1.1	wms	wms	wechsler memory scale	wechsler_memory_scale
http://data.loterre.fr/ark:/67375/p66-jgfqsvdn-1.2	wms-iii	wms-iii	wechsler memory scale	wechsler_memory_scale
http://data.loterre.fr/ark:/67375/p66-jgfqsvdn-1.3	wms-iv	wms-iv	wechsler memory scale	wechsler_memory_scale
http://data.loterre.fr/ark:/67375/p66-jgfqsvdn-1.4	wms-r	wms-r	wechsler memory scale	wechsler_memory_scale
http://data.loterre.fr/ark:/67375/p66-jgmn027g-s.0	preparatory attentional and memory processes theory	preparatory attentional and memory processes theory	preparatory attentional and memory processes theory	preparatory_attentional_and_memory_processes_theory
http://data.loterre.fr/ark:/67375/p66-jgmn027g-s.1	pam theory	pam theory	preparatory attentional and memory processes theory	preparatory_attentional_and_memory_processes_theory
http://data.loterre.fr/ark:/67375/p66-jj8wbd3l-k.0	subjective memory complaints questionnaire	subjective memory complaints questionnaire	subjective memory complaints questionnaire	subjective_memory_complaints_questionnaire
http://data.loterre.fr/ark:/67375/p66-jj8wbd3l-k.1	smcq	smcq	subjective memory complaints questionnaire	subjective_memory_complaints_questionnaire
http://data.loterre.fr/ark:/67375/p66-jkfsd77j-g.0	functional serial position curve	functional serial position curve	functional serial position curve	functional_serial_position_curve
http://data.loterre.fr/ark:/67375/p66-jmf16vf1-q.0	perceptual fluency	perceptual fluency	perceptual fluency	perceptual_fluency
http://data.loterre.fr/ark:/67375/p66-jp687hxg-1.0	collective false memory	collective false memory	collective false memory	collective_false_memory
http://data.loterre.fr/ark:/67375/p66-jphhcmkx-h.0	retrieval orientation	retrieval orientation	retrieval orientation	retrieval_orientation
http://data.loterre.fr/ark:/67375/p66-jpnm07c9-t.0	mnesis model	mnesis model	mnesis model	mnesis_model
http://data.loterre.fr/ark:/67375/p66-jpnm07c9-t.1	memory neostructural and inter-systemic model	memory neostructural and inter-systemic model	mnesis model	mnesis_model
http://data.loterre.fr/ark:/67375/p66-jqqczclq-r.0	orthographic working memory	orthographic working memory	orthographic working memory	orthographic_working_memory
http://data.loterre.fr/ark:/67375/p66-jqqczclq-r.1	graphemic buffer	graphemic buffer	orthographic working memory	orthographic_working_memory
http://data.loterre.fr/ark:/67375/p66-jqrwwnlb-8.0	associative memory	associative memory	associative memory	associative_memory
http://data.loterre.fr/ark:/67375/p66-jqrwwnlb-8.1	association-memory	association-memory	associative memory	associative_memory
http://data.loterre.fr/ark:/67375/p66-jrt9vh2m-m.0	continuous paired-associate learning task	continuous paired-associate learning task	continuous paired-associate learning task	continuous_paired_associate_learning_task
http://data.loterre.fr/ark:/67375/p66-jrxxxpg1-0.0	act-in theory	act-in theory	act-in theory	act_in_theory
http://data.loterre.fr/ark:/67375/p66-jrxxxpg1-0.1	activation-integration theory	activation-integration theory	act-in theory	act_in_theory
http://data.loterre.fr/ark:/67375/p66-js7bdwdb-1.0	earwitness testimony	earwitness testimony	earwitness testimony	earwitness_testimony
http://data.loterre.fr/ark:/67375/p66-jsq860pf-r.0	bcdmem model	bcdmem model	bind cue decide model of episodic memory	bind_cue_decide_model_of_episodic_memory
http://data.loterre.fr/ark:/67375/p66-jtqbv59k-p.0	witness model	witness model	witness model	witness_model
http://data.loterre.fr/ark:/67375/p66-jwgtj6pw-1.0	multifactorial memory questionnaire	multifactorial memory questionnaire	multifactorial memory questionnaire	multifactorial_memory_questionnaire
http://data.loterre.fr/ark:/67375/p66-jwgtj6pw-1.1	mmq	mmq	multifactorial memory questionnaire	multifactorial_memory_questionnaire
http://data.loterre.fr/ark:/67375/p66-jwph1z9n-t.0	time in-working-memory hypothesis	time in-working-memory hypothesis	time in-working-memory hypothesis	time_in_working_memory_hypothesis
http://data.loterre.fr/ark:/67375/p66-jwph1z9n-t.1	time in-wm hypothesis	time in-wm hypothesis	time in-working-memory hypothesis	time_in_working_memory_hypothesis
http://data.loterre.fr/ark:/67375/p66-jxkljjpb-x.0	simple model	simple model	simple model	simple_model
http://data.loterre.fr/ark:/67375/p66-jxkljjpb-x.1	scale independent memory, perception and learning model	scale independent memory, perception and learning model	simple model	simple_model
http://data.loterre.fr/ark:/67375/p66-jxkljjpb-x.2	scale invariant memory and perceptual learning model	scale invariant memory and perceptual learning model	simple model	simple_model
http://data.loterre.fr/ark:/67375/p66-jxnd260v-g.0	harold model	harold model	harold model	harold_model
http://data.loterre.fr/ark:/67375/p66-jxnd260v-g.1	harold hypothesis	harold hypothesis	harold model	harold_model
http://data.loterre.fr/ark:/67375/p66-jxnd260v-g.2	hemispheric asymmetry reduction in older adults	hemispheric asymmetry reduction in older adults	harold model	harold_model
http://data.loterre.fr/ark:/67375/p66-jxnd260v-g.3	hemispheric asymmetry reduction in older adults hypothesis	hemispheric asymmetry reduction in older adults hypothesis	harold model	harold_model
http://data.loterre.fr/ark:/67375/p66-k0d65x2x-x.0	positional coding theory	positional coding theory	positional coding theory	positional_coding_theory
http://data.loterre.fr/ark:/67375/p66-k26dpgjm-0.0	athena model	athena model	athena model	athena_model
http://data.loterre.fr/ark:/67375/p66-k37fld01-v.0	royal prince alfred prospective memory test	royal prince alfred prospective memory test	royal prince alfred prospective memory test	royal_prince_alfred_prospective_memory_test
http://data.loterre.fr/ark:/67375/p66-k37fld01-v.1	rpa-promem	rpa-promem	royal prince alfred prospective memory test	royal_prince_alfred_prospective_memory_test
http://data.loterre.fr/ark:/67375/p66-k38mbb96-g.0	inner scribe	inner scribe	inner scribe	inner_scribe
http://data.loterre.fr/ark:/67375/p66-k4tm9jll-k.0	spontaneous confabulation	spontaneous confabulation	spontaneous confabulation	spontaneous_confabulation
http://data.loterre.fr/ark:/67375/p66-k58rm8dt-0.0	go/no-go task	go/no-go task	go/no-go task	go_no_go_task
http://data.loterre.fr/ark:/67375/p66-k5mk7mbb-1.0	in-group/outgroup model	in-group/outgroup model	in-group/outgroup model	in_group_outgroup_model
http://data.loterre.fr/ark:/67375/p66-k5mk7mbb-1.1	iom	iom	in-group/outgroup model	in_group_outgroup_model
http://data.loterre.fr/ark:/67375/p66-k6qvntdf-7.0	reminiscing style	reminiscing style	reminiscing style	reminiscing_style
http://data.loterre.fr/ark:/67375/p66-k6qvntdf-7.1	conversational style	conversational style	reminiscing style	reminiscing_style
http://data.loterre.fr/ark:/67375/p66-k6qvntdf-7.2	parental reminiscing style	parental reminiscing style	reminiscing style	reminiscing_style
http://data.loterre.fr/ark:/67375/p66-k7qk5t5s-w.0	working memory period paradigm	working memory period paradigm	working memory period paradigm	working_memory_period_paradigm
http://data.loterre.fr/ark:/67375/p66-k87v4d11-t.0	transcranial direct current stimulation	transcranial direct current stimulation	transcranial direct current stimulation	transcranial_direct_current_stimulation
http://data.loterre.fr/ark:/67375/p66-k87v4d11-t.1	tdcs	tdcs	transcranial direct current stimulation	transcranial_direct_current_stimulation
http://data.loterre.fr/ark:/67375/p66-k8bkrrgb-q.0	mnemonic similarity task	mnemonic similarity task	mnemonic similarity task	mnemonic_similarity_task
http://data.loterre.fr/ark:/67375/p66-k8bkrrgb-q.1	behavioral pattern separation task	behavioral pattern separation task	mnemonic similarity task	mnemonic_similarity_task
http://data.loterre.fr/ark:/67375/p66-kc2wlh2z-9.0	skaggs-robinson hypothesis	skaggs-robinson hypothesis	skaggs-robinson hypothesis	skaggs_robinson_hypothesis
http://data.loterre.fr/ark:/67375/p66-kc2wlh2z-9.1	skaggs-robinson curve	skaggs-robinson curve	skaggs-robinson hypothesis	skaggs_robinson_hypothesis
http://data.loterre.fr/ark:/67375/p66-kc2wlh2z-9.2	skaggs-robinson law	skaggs-robinson law	skaggs-robinson hypothesis	skaggs_robinson_hypothesis
http://data.loterre.fr/ark:/67375/p66-kc2wlh2z-9.3	similarity paradox	similarity paradox	skaggs-robinson hypothesis	skaggs_robinson_hypothesis
http://data.loterre.fr/ark:/67375/p66-kcjfsjmn-l.0	cybercruiser	cybercruiser	cybercruiser	cybercruiser
http://data.loterre.fr/ark:/67375/p66-kcmd8869-j.0	yes/no recognition task	yes/no recognition task	yes/no recognition task	yes_no_recognition_task
http://data.loterre.fr/ark:/67375/p66-kcmd8869-j.1	yes/no recognition paradigm	yes/no recognition paradigm	yes/no recognition task	yes_no_recognition_task
http://data.loterre.fr/ark:/67375/p66-kf6tkb5m-f.0	memory confusion	memory confusion	memory confusion	memory_confusion
http://data.loterre.fr/ark:/67375/p66-kgf9jfl6-2.0	sternberg task	sternberg task	sternberg task	sternberg_task
http://data.loterre.fr/ark:/67375/p66-kgf9jfl6-2.1	sternberg item recognition task	sternberg item recognition task	sternberg task	sternberg_task
http://data.loterre.fr/ark:/67375/p66-kgf9jfl6-2.2	sternberg paradigm	sternberg paradigm	sternberg task	sternberg_task
http://data.loterre.fr/ark:/67375/p66-kgf9jfl6-2.3	sternberg's memory scanning paradigm	sternberg's memory scanning paradigm	sternberg task	sternberg_task
http://data.loterre.fr/ark:/67375/p66-kgf9jfl6-2.4	memory scanning experiment	memory scanning experiment	sternberg task	sternberg_task
http://data.loterre.fr/ark:/67375/p66-kgf9jfl6-2.5	memory scanning paradigm	memory scanning paradigm	sternberg task	sternberg_task
http://data.loterre.fr/ark:/67375/p66-khj4fzq3-l.0	multitrial free recall task	multitrial free recall task	multitrial free recall task	multitrial_free_recall_task
http://data.loterre.fr/ark:/67375/p66-khjsdwcq-6.0	functionalist theories of memory	functionalist theories of memory	functionalist theories of memory	functionalist_theories_of_memory
http://data.loterre.fr/ark:/67375/p66-khjsdwcq-6.1	procedural theories of memory	procedural theories of memory	functionalist theories of memory	functionalist_theories_of_memory
http://data.loterre.fr/ark:/67375/p66-khqhd0xq-5.0	principle of coherence	principle of coherence	principle of coherence	principle_of_coherence
http://data.loterre.fr/ark:/67375/p66-kk6lxtl8-p.0	working memory	working memory	working memory	working_memory
http://data.loterre.fr/ark:/67375/p66-kk6lxtl8-p.1	m-space	m-space	working memory	working_memory
http://data.loterre.fr/ark:/67375/p66-kkgd8hks-d.0	tulving-wiseman law	tulving-wiseman law	tulving-wiseman law	tulving_wiseman_law
http://data.loterre.fr/ark:/67375/p66-kkrtw8hq-s.0	associative recognition task	associative recognition task	associative recognition task	associative_recognition_task
http://data.loterre.fr/ark:/67375/p66-kkrtw8hq-s.1	associative recognition paradigm	associative recognition paradigm	associative recognition task	associative_recognition_task
http://data.loterre.fr/ark:/67375/p66-kkrtw8hq-s.2	associative recognition test	associative recognition test	associative recognition task	associative_recognition_task
http://data.loterre.fr/ark:/67375/p66-klf6544r-k.0	gudjonsson suggestibility scale	gudjonsson suggestibility scale	gudjonsson suggestibility scale	gudjonsson_suggestibility_scale
http://data.loterre.fr/ark:/67375/p66-klf6544r-k.1	gss	gss	gudjonsson suggestibility scale	gudjonsson_suggestibility_scale
http://data.loterre.fr/ark:/67375/p66-klf6544r-k.2	gss1	gss1	gudjonsson suggestibility scale	gudjonsson_suggestibility_scale
http://data.loterre.fr/ark:/67375/p66-kmlfzjr5-3.0	verbal fluency test	verbal fluency test	verbal fluency test	verbal_fluency_test
http://data.loterre.fr/ark:/67375/p66-kmlfzjr5-3.1	verbal fluency task	verbal fluency task	verbal fluency test	verbal_fluency_test
http://data.loterre.fr/ark:/67375/p66-knvl7rps-z.0	violation of expectation paradigm	violation of expectation paradigm	violation of expectation paradigm	violation_of_expectation_paradigm
http://data.loterre.fr/ark:/67375/p66-knvl7rps-z.1	violation of expectancy paradigm	violation of expectancy paradigm	violation of expectation paradigm	violation_of_expectation_paradigm
http://data.loterre.fr/ark:/67375/p66-knwz0fmc-f.0	own-age bias	own-age bias	own-age bias	own_age_bias
http://data.loterre.fr/ark:/67375/p66-kp7dv2r3-5.0	memory alteration test	memory alteration test	memory alteration test	memory_alteration_test
http://data.loterre.fr/ark:/67375/p66-kp7dv2r3-5.1	m@t	m@t	memory alteration test	memory_alteration_test
http://data.loterre.fr/ark:/67375/p66-kq1k76v2-c.0	complex span task	complex span task	complex span task	complex_span_task
http://data.loterre.fr/ark:/67375/p66-kq1k76v2-c.1	complex wm span task	complex wm span task	complex span task	complex_span_task
http://data.loterre.fr/ark:/67375/p66-kq1k76v2-c.2	complex span	complex span	complex span task	complex_span_task
http://data.loterre.fr/ark:/67375/p66-kq1k76v2-c.3	complex working memory span task	complex working memory span task	complex span task	complex_span_task
http://data.loterre.fr/ark:/67375/p66-kq1k76v2-c.4	processing-and-storage task	processing-and-storage task	complex span task	complex_span_task
http://data.loterre.fr/ark:/67375/p66-kq89gbzf-l.0	short-term consolidation	short-term consolidation	short-term consolidation	short_term_consolidation
http://data.loterre.fr/ark:/67375/p66-kqntbwlf-3.0	visual paired-comparison paradigm	visual paired-comparison paradigm	visual paired-comparison paradigm	visual_paired_comparison_paradigm
http://data.loterre.fr/ark:/67375/p66-kqwb77jr-h.0	dms48	dms48	dms48	dms48
http://data.loterre.fr/ark:/67375/p66-kr2pwmz9-k.0	direct retrieval	direct retrieval	direct retrieval	direct_retrieval
http://data.loterre.fr/ark:/67375/p66-kr2pwmz9-k.1	spontaneous retrieval	spontaneous retrieval	direct retrieval	direct_retrieval
http://data.loterre.fr/ark:/67375/p66-ks3rprct-v.0	test of memory malingering	test of memory malingering	test of memory malingering	test_of_memory_malingering
http://data.loterre.fr/ark:/67375/p66-ks3rprct-v.1	tomm	tomm	test of memory malingering	test_of_memory_malingering
http://data.loterre.fr/ark:/67375/p66-kvn51r57-r.0	central executive	central executive	central executive	central_executive
http://data.loterre.fr/ark:/67375/p66-kvn51r57-r.1	executive attention	executive attention	central executive	central_executive
http://data.loterre.fr/ark:/67375/p66-kx1ckz3j-l.0	semantic categorization task	semantic categorization task	semantic categorization task	semantic_categorization_task
http://data.loterre.fr/ark:/67375/p66-kx1ckz3j-l.1	semantic categorization	semantic categorization	semantic categorization task	semantic_categorization_task
http://data.loterre.fr/ark:/67375/p66-kxc5280j-d.0	repeated reproduction	repeated reproduction	repeated reproduction	repeated_reproduction
http://data.loterre.fr/ark:/67375/p66-l2cd2bxt-z.0	response signal procedure	response signal procedure	response signal procedure	response_signal_procedure
http://data.loterre.fr/ark:/67375/p66-l2l3rc4k-f.0	episodic future thinking-induced forgetting	episodic future thinking-induced forgetting	episodic future thinking-induced forgetting	episodic_future_thinking_induced_forgetting
http://data.loterre.fr/ark:/67375/p66-l2l3rc4k-f.1	eft-induced forgetting	eft-induced forgetting	episodic future thinking-induced forgetting	episodic_future_thinking_induced_forgetting
http://data.loterre.fr/ark:/67375/p66-l4b4v85x-z.0	recency effect	recency effect	recency effect	recency_effect
http://data.loterre.fr/ark:/67375/p66-l4b4v85x-z.1	law of recency	law of recency	recency effect	recency_effect
http://data.loterre.fr/ark:/67375/p66-l4b4v85x-z.2	principle of recency	principle of recency	recency effect	recency_effect
http://data.loterre.fr/ark:/67375/p66-l4jlqv86-6.0	memory specificity training	memory specificity training	memory specificity training	memory_specificity_training
http://data.loterre.fr/ark:/67375/p66-l5wlgk5f-d.0	autobiographical implicit association test	autobiographical implicit association test	autobiographical implicit association test	autobiographical_implicit_association_test
http://data.loterre.fr/ark:/67375/p66-l5wlgk5f-d.1	aiat	aiat	autobiographical implicit association test	autobiographical_implicit_association_test
http://data.loterre.fr/ark:/67375/p66-l5wlgk5f-d.2	autobiographical iat	autobiographical iat	autobiographical implicit association test	autobiographical_implicit_association_test
http://data.loterre.fr/ark:/67375/p66-l65nnth4-2.0	prior knowledge	prior knowledge	prior knowledge	prior_knowledge
http://data.loterre.fr/ark:/67375/p66-l68x900f-h.0	walking corsi test	walking corsi test	walking corsi test	walking_corsi_test
http://data.loterre.fr/ark:/67375/p66-l68x900f-h.1	walct	walct	walking corsi test	walking_corsi_test
http://data.loterre.fr/ark:/67375/p66-l6sl8bx6-8.0	global recognition task	global recognition task	global recognition task	global_recognition_task
http://data.loterre.fr/ark:/67375/p66-l6zg9vwm-t.0	reconstructive memory	reconstructive memory	reconstructive memory	reconstructive_memory
http://data.loterre.fr/ark:/67375/p66-l6zg9vwm-t.1	memory reconstruction	memory reconstruction	reconstructive memory	reconstructive_memory
http://data.loterre.fr/ark:/67375/p66-l7tx8929-9.0	agnosia	agnosia	agnosia	agnosia
